i		j		T
14		27		1.884395
14		28		1.602190
14		29		1.359826
14		30		1.151311
14		31		0.971483
14		32		0.815887
14		33		0.680660
14		34		0.562441
14		35		0.458289
14		36		0.365605
14		37		0.282074
14		38		0.205605
14		39		0.134283
14		40		0.066317
14		41		0.000000
15		1		100.000000
15		2		87.645187
15		3		75.926117
15		4		65.267929
15		5		55.852139
15		6		47.683670
15		7		40.670586
15		8		34.681686
15		9		29.579433
15		10		25.235558
15		11		21.536770
15		12		18.385666
15		13		15.699494
15		14		13.408295
15		15		11.452972
15		16		9.783563
15		17		8.357752
15		18		7.139639
15		19		6.098717
15		20		5.209024
15		21		4.448437
15		22		3.798086
15		23		3.241861
15		24		2.766002
15		25		2.358742
15		26		2.010016
15		27		1.711204
15		28		1.454921
15		29		1.234827
15		30		1.045477
15		31		0.882180
15		32		0.740888
15		33		0.618093
15		34		0.510743
15		35		0.416166
15		36		0.332002
15		37		0.256149
15		38		0.186709
15		39		0.121942
15		40		0.060222
15		41		0.000000
16		1		100.000000
16		2		85.876373
16		3		72.808479
16		4		61.354401
16		5		51.622337
16		6		43.475475
16		7		36.689308
16		8		31.034140
16		9		26.307646
16		10		22.342442
16		11		19.003500
16		12		16.182636
16		13		13.792920
16		14		11.763997
16		15		10.038427
16		16		8.568901
16		17		7.316152
16		18		6.247365
16		19		5.334976
16		20		4.555726
16		21		3.889921
16		22		3.320846
16		23		2.834279
16		24		2.418104
16		25		2.061982
16		26		1.757079
16		27		1.495841
16		28		1.271796
16		29		1.079396
16		30		0.913877
16		31		0.771134
16		32		0.647628
16		33		0.540292
16		34		0.446456
16		35		0.363784
16		36		0.290215
16		37		0.223910
16		38		0.163210
16		39		0.106594
16		40		0.052643
16		41		0.000000
17		1		100.000000
17		2		83.051865
17		3		68.077118
17		4		55.718971
17		5		45.807495
17		6		37.906776
17		7		31.577255
17		8		26.458164
17		9		22.274841
17		10		18.823353
17		11		15.952464
17		12		13.548788
17		13		11.525896
17		14		9.816704
17		15		8.368204
17		16		7.137837
17		17		6.090965
17		18		5.199074
17		19		4.438477
17		20		3.789358
17		21		3.235048
17		22		2.761462
17		23		2.356662
17		24		2.010499
17		25		1.714334
17		26		1.460795
17		27		1.243583
17		28		1.057308
17		29		0.897350
17		30		0.759743
17		31		0.641075
17		32		0.538400
17		33		0.449168
17		34		0.371160
17		35		0.302432
17		36		0.241271
17		37		0.186148
17		38		0.135686
17		39		0.088618
17		40		0.043765
17		41		0.000000
18		1		100.000000
18		2		78.254021
18		3		60.729240
18		4		47.636978
18		5		37.982021
18		6		30.767021
18		7		25.254946
18		8		20.946617
18		9		17.510410
18		10		14.723897
18		11		12.434466
18		12		10.534416
18		13		8.945448
18		14		7.609004
18		15		6.480139
18		16		5.523577
18		17		4.711101
18		18		4.019792
18		19		3.430801
18		20		2.928483
18		21		2.499748
18		22		2.133585
18		23		1.820689
18		24		1.553172
18		25		1.324326
18		26		1.128438
18		27		0.960629
18		28		0.816728
18		29		0.693163
18		30		0.586866
18		31		0.495201
18		32		0.415890
18		33		0.346963
18		34		0.286706
18		35		0.233617
18		36		0.186373
18		37		0.143794
18		38		0.104813
18		39		0.068455
18		40		0.033807
18		41		0.000000
19		1		100.000000
19		2		69.235016
19		3		48.948906
19		4		36.117752
19		5		27.716688
19		6		21.924454
19		7		17.729012
19		8		14.563093
19		9		12.096447
19		10		10.127527
19		11		8.527271
19		12		7.209153
19		13		6.112677
19		14		5.193931
19		15		4.419985
19		16		3.765448
19		17		3.210290
19		18		2.738410
19		19		2.336675
19		20		1.994244
19		21		1.702092
19		22		1.452652
19		23		1.239544
